Date,Last
07.04.2022,352.42
08.04.2022,341.83
11.04.2022,325.31
12.04.2022,328.98
13.04.2022,340.79
14.04.2022,328.33
18.04.2022,334.76
19.04.2022,342.72
20.04.2022,325.73
21.04.2022,336.26
22.04.2022,335.02
25.04.2022,332.67
26.04.2022,292.14
27.04.2022,293.84
28.04.2022,292.50
29.04.2022,290.25
02.05.2022,300.98
03.05.2022,303.08
04.05.2022,317.54
05.05.2022,291.09
06.05.2022,288.55
09.05.2022,262.37
10.05.2022,266.68
11.05.2022,244.67
12.05.2022,242.67
13.05.2022,256.53
16.05.2022,241.46
17.05.2022,253.87
18.05.2022,236.60
19.05.2022,236.47
20.05.2022,221.30
23.05.2022,224.97
24.05.2022,209.39
25.05.2022,219.60
26.05.2022,235.91
27.05.2022,253.21
31.05.2022,252.75
01.06.2022,246.79
02.06.2022,258.33
03.06.2022,234.52
06.06.2022,238.28
07.06.2022,238.89
08.06.2022,241.87
09.06.2022,239.71
10.06.2022,232.23
13.06.2022,215.74
14.06.2022,220.89
15.06.2022,233.00
16.06.2022,213.10
17.06.2022,216.76
21.06.2022,237.04
22.06.2022,236.09
23.06.2022,235.07
24.06.2022,245.71
27.06.2022,244.92
28.06.2022,232.66
29.06.2022,228.49
30.06.2022,224.47
01.07.2022,227.26
05.07.2022,233.07
06.07.2022,231.73
07.07.2022,244.54
08.07.2022,250.76
11.07.2022,234.34
12.07.2022,233.07
13.07.2022,237.04
14.07.2022,238.31
15.07.2022,240.07
18.07.2022,240.55
19.07.2022,245.53
20.07.2022,247.50
21.07.2022,271.71
22.07.2022,272.24
25.07.2022,268.43
26.07.2022,258.86
27.07.2022,274.82
28.07.2022,280.90
29.07.2022,297.15
01.08.2022,297.28
02.08.2022,300.59
03.08.2022,307.40
04.08.2022,308.63
05.08.2022,288.17
08.08.2022,290.42
09.08.2022,283.33
10.08.2022,294.36
11.08.2022,286.63
12.08.2022,300.03
15.08.2022,309.32
16.08.2022,306.56
17.08.2022,304.00
18.08.2022,302.87
19.08.2022,296.67
22.08.2022,289.91
23.08.2022,296.45
24.08.2022,297.10
25.08.2022,296.07
26.08.2022,288.09
29.08.2022,284.82
30.08.2022,277.70
31.08.2022,275.61
01.09.2022,277.16
02.09.2022,270.21
06.09.2022,274.42
07.09.2022,283.70
08.09.2022,289.26
09.09.2022,299.68
12.09.2022,304.42
13.09.2022,292.13
14.09.2022,302.61
15.09.2022,303.75
16.09.2022,303.35
19.09.2022,309.07
20.09.2022,308.73
21.09.2022,300.80
22.09.2022,288.59
23.09.2022,275.33
26.09.2022,276.01
27.09.2022,282.94
28.09.2022,287.81
29.09.2022,268.21
30.09.2022,265.25
03.10.2022,242.40
04.10.2022,249.44
05.10.2022,240.81
06.10.2022,238.13
07.10.2022,223.07
10.10.2022,222.96
11.10.2022,216.50
12.10.2022,217.24
13.10.2022,221.72
14.10.2022,204.99
17.10.2022,219.35
18.10.2022,220.19
19.10.2022,222.04
20.10.2022,207.28
21.10.2022,214.44
24.10.2022,211.25
25.10.2022,222.42
26.10.2022,224.64
27.10.2022,225.09
28.10.2022,228.52
31.10.2022,227.54
01.11.2022,227.82
02.11.2022,214.98
03.11.2022,215.31
04.11.2022,207.47
07.11.2022,197.08
08.11.2022,191.30
09.11.2022,177.59
10.11.2022,190.72
11.11.2022,195.97
14.11.2022,190.95
15.11.2022,194.42
16.11.2022,186.92
17.11.2022,183.17
18.11.2022,180.19
21.11.2022,167.87
22.11.2022,169.91
23.11.2022,183.20
25.11.2022,182.86
28.11.2022,182.92
29.11.2022,180.83
30.11.2022,194.70
01.12.2022,194.70
02.12.2022,194.86
05.12.2022,182.45
06.12.2022,179.82
07.12.2022,174.04
08.12.2022,173.44
09.12.2022,179.05
12.12.2022,167.82
13.12.2022,160.95
14.12.2022,156.80
15.12.2022,157.67
16.12.2022,150.23
19.12.2022,149.87
20.12.2022,137.80
21.12.2022,137.57
22.12.2022,125.35
23.12.2022,123.15
27.12.2022,109.10
28.12.2022,112.71
29.12.2022,121.82
30.12.2022,123.18
03.01.2023,108.10
04.01.2023,113.64
05.01.2023,110.34
06.01.2023,113.06
09.01.2023,119.77
10.01.2023,118.85
11.01.2023,123.22
12.01.2023,123.56
13.01.2023,122.40
17.01.2023,131.49
18.01.2023,128.78
19.01.2023,127.17
20.01.2023,133.42
23.01.2023,143.75
24.01.2023,143.89
25.01.2023,144.43
26.01.2023,160.27
27.01.2023,177.90
30.01.2023,166.66
31.01.2023,173.22
01.02.2023,181.41
02.02.2023,188.27
03.02.2023,189.98
06.02.2023,194.76
07.02.2023,196.81
08.02.2023,201.29
09.02.2023,207.32
10.02.2023,196.89
13.02.2023,194.64
14.02.2023,209.25
15.02.2023,214.24
16.02.2023,202.04
17.02.2023,208.31
21.02.2023,197.37
22.02.2023,200.86
23.02.2023,202.07
24.02.2023,196.88
27.02.2023,207.63
28.02.2023,205.71
01.03.2023,202.77
02.03.2023,190.90
03.03.2023,197.79
06.03.2023,193.81
07.03.2023,187.71
08.03.2023,182.00
09.03.2023,172.92
10.03.2023,173.44
13.03.2023,174.48
14.03.2023,183.26
15.03.2023,180.45
16.03.2023,184.13
17.03.2023,180.13
20.03.2023,183.25
21.03.2023,197.58
22.03.2023,191.15
23.03.2023,192.22
24.03.2023,190.41
27.03.2023,191.81
28.03.2023,189.19
29.03.2023,193.88
30.03.2023,195.28
31.03.2023,207.46
03.04.2023,194.77
04.04.2023,192.58
05.04.2023,185.52
06.04.2023,185.06
