Date,Last,Strike
10.02.2023,22.71,187.5
10.02.2023,20.38,190
10.02.2023,18.69,192.5
10.02.2023,16.56,195
10.02.2023,15,197.5
10.02.2023,13.45,200
10.02.2023,11.85,202.5
10.02.2023,10.59,205
10.02.2023,9.35,207.5
10.02.2023,8.25,210
10.02.2023,7.2,212.5
10.02.2023,6.35,215
10.02.2023,5.55,217.5
10.02.2023,4.8,220
10.02.2023,4.2,222.5
10.02.2023,3.65,225
10.02.2023,3.18,227.5
11.02.2023,22,182.5
11.02.2023,20.97,187.5
11.02.2023,19.34,190
11.02.2023,17,192.5
11.02.2023,16.51,195
11.02.2023,14,197.5
11.02.2023,11.73,200
11.02.2023,9.98,202.5
11.02.2023,8.25,205
11.02.2023,7.11,207.5
11.02.2023,6.21,210
11.02.2023,5.09,212.5
11.02.2023,4.45,215
11.02.2023,4.8,217.5
11.02.2023,3.59,220
11.02.2023,3.33,222.5
11.02.2023,3.18,225
12.02.2023,21.42,180
12.02.2023,20.03,182.5
12.02.2023,19.74,185
12.02.2023,17.89,187.5
12.02.2023,15.63,190
12.02.2023,13,192.5
12.02.2023,11.52,195
12.02.2023,9.23,197.5
12.02.2023,8.37,200
12.02.2023,7.52,202.5
12.02.2023,6.5,205
12.02.2023,5,207.5
12.02.2023,4.44,210
12.02.2023,3.75,212.5
12.02.2023,3,215
12.02.2023,2.8,217.5
13.02.2023,20.9,177.5
13.02.2023,19.02,180
13.02.2023,17.05,182.5
13.02.2023,15.1,185
13.02.2023,13.55,187.5
13.02.2023,11.73,190
13.02.2023,10.15,192.5
13.02.2023,8.9,195
13.02.2023,7.57,197.5
13.02.2023,6.52,200
13.02.2023,5.5,202.5
13.02.2023,4.75,205
13.02.2023,3.98,207.5
13.02.2023,3.35,210
13.02.2023,2.83,212.5
13.02.2023,2.36,215
14.02.2023,18.59,177.5
14.02.2023,16.6,180
14.02.2023,14.55,182.5
14.02.2023,12.6,185
14.02.2023,10.8,187.5
14.02.2023,9.3,190
14.02.2023,7.85,192.5
14.02.2023,6.55,195
14.02.2023,5.4,197.5
14.02.2023,4.43,200
14.02.2023,3.6,202.5
14.02.2023,2.92,205
14.02.2023,2.36,207.5
14.02.2023,1.92,210
14.02.2023,1.51,212.5
15.02.2023,19.97,190
15.02.2023,17.7,192.5
15.02.2023,15.59,195
15.02.2023,13.54,197.5
15.02.2023,11.65,200
15.02.2023,9.82,202.5
15.02.2023,8.25,205
15.02.2023,6.81,207.5
15.02.2023,5.56,210
15.02.2023,4.5,212.5
15.02.2023,3.6,215
15.02.2023,2.83,217.5
15.02.2023,2.23,220
15.02.2023,1.72,222.5
15.02.2023,1.38,225
15.02.2023,1.05,227.5
15.02.2023,0.82,230
16.02.2023,19.5,195
16.02.2023,17.25,197.5
16.02.2023,15.1,200
16.02.2023,12.9,202.5
16.02.2023,10.8,205
16.02.2023,8.95,207.5
16.02.2023,7.2,210
16.02.2023,5.75,212.5
16.02.2023,4.46,215
16.02.2023,3.41,217.5
16.02.2023,2.52,220
16.02.2023,1.87,222.5
16.02.2023,1.37,225
16.02.2023,1,227.5
16.02.2023,0.72,230
16.02.2023,0.51,232.5
16.02.2023,0.37,235
17.02.2023,19,197.5
17.02.2023,17.09,200
17.02.2023,15.49,202.5
17.02.2023,13.64,205
17.02.2023,11.21,207.5
17.02.2023,9.99,210
17.02.2023,8.56,212.5
17.02.2023,6.03,215
17.02.2023,5,217.5
17.02.2023,4.49,220
17.02.2023,3.78,222.5
17.02.2023,2.55,225
17.02.2023,1.5,227.5
17.02.2023,0.69,230
17.02.2023,0.47,232.5
17.02.2023,0.38,235
17.02.2023,0.29,240
